id,left,top,right,bottom
1,-73.983182158000005,5.269545516000000,-67.633537945000000,-1.080098697000000
2,-73.983182158000005,-1.080098697000000,-67.633537945000000,-7.429742910000002
3,-73.983182158000005,-7.429742910000002,-67.633537945000000,-13.779387123000001
4,-73.983182158000005,-13.779387122999999,-67.633537945000000,-20.129031336000001
5,-73.983182158000005,-20.129031336000001,-67.633537945000000,-26.478675548999998
6,-73.983182158000005,-26.478675548999998,-67.633537945000000,-32.828319762000000
7,-73.983182158000005,-32.828319762000000,-67.633537945000000,-39.177963974999997
8,-67.633537945000000,5.269545516000000,-61.283893732000003,-1.080098697000000
9,-67.633537945000000,-1.080098697000000,-61.283893732000003,-7.429742910000002
10,-67.633537945000000,-7.429742910000002,-61.283893732000003,-13.779387123000001
11,-67.633537945000000,-13.779387122999999,-61.283893732000003,-20.129031336000001
12,-67.633537945000000,-20.129031336000001,-61.283893732000003,-26.478675548999998
13,-67.633537945000000,-26.478675548999998,-61.283893732000003,-32.828319762000000
14,-67.633537945000000,-32.828319762000000,-61.283893732000003,-39.177963974999997
15,-61.283893732000003,5.269545516000000,-54.934249519000005,-1.080098697000000
16,-61.283893732000003,-1.080098697000000,-54.934249519000005,-7.429742910000002
17,-61.283893732000003,-7.429742910000002,-54.934249519000005,-13.779387123000001
18,-61.283893732000003,-13.779387122999999,-54.934249519000005,-20.129031336000001
19,-61.283893732000003,-20.129031336000001,-54.934249519000005,-26.478675548999998
20,-61.283893732000003,-26.478675548999998,-54.934249519000005,-32.828319762000000
21,-61.283893732000003,-32.828319762000000,-54.934249519000005,-39.177963974999997
22,-54.934249519000005,5.269545516000000,-48.584605306000007,-1.080098697000000
23,-54.934249519000005,-1.080098697000000,-48.584605306000007,-7.429742910000002
24,-54.934249519000005,-7.429742910000002,-48.584605306000007,-13.779387123000001
25,-54.934249519000005,-13.779387122999999,-48.584605306000007,-20.129031336000001
26,-54.934249519000005,-20.129031336000001,-48.584605306000007,-26.478675548999998
27,-54.934249519000005,-26.478675548999998,-48.584605306000007,-32.828319762000000
28,-54.934249519000005,-32.828319762000000,-48.584605306000007,-39.177963974999997
29,-48.584605306000000,5.269545516000000,-42.234961093000003,-1.080098697000000
30,-48.584605306000000,-1.080098697000000,-42.234961093000003,-7.429742910000002
31,-48.584605306000000,-7.429742910000002,-42.234961093000003,-13.779387123000001
32,-48.584605306000000,-13.779387122999999,-42.234961093000003,-20.129031336000001
33,-48.584605306000000,-20.129031336000001,-42.234961093000003,-26.478675548999998
34,-48.584605306000000,-26.478675548999998,-42.234961093000003,-32.828319762000000
35,-48.584605306000000,-32.828319762000000,-42.234961093000003,-39.177963974999997
36,-42.234961093000003,5.269545516000000,-35.885316880000005,-1.080098697000000
37,-42.234961093000003,-1.080098697000000,-35.885316880000005,-7.429742910000002
38,-42.234961093000003,-7.429742910000002,-35.885316880000005,-13.779387123000001
39,-42.234961093000003,-13.779387122999999,-35.885316880000005,-20.129031336000001
40,-42.234961093000003,-20.129031336000001,-35.885316880000005,-26.478675548999998
41,-42.234961093000003,-26.478675548999998,-35.885316880000005,-32.828319762000000
42,-42.234961093000003,-32.828319762000000,-35.885316880000005,-39.177963974999997
43,-35.885316880000005,5.269545516000000,-29.535672667000004,-1.080098697000000
44,-35.885316880000005,-1.080098697000000,-29.535672667000004,-7.429742910000002
45,-35.885316880000005,-7.429742910000002,-29.535672667000004,-13.779387123000001
46,-35.885316880000005,-13.779387122999999,-29.535672667000004,-20.129031336000001
47,-35.885316880000005,-20.129031336000001,-29.535672667000004,-26.478675548999998
48,-35.885316880000005,-26.478675548999998,-29.535672667000004,-32.828319762000000
49,-35.885316880000005,-32.828319762000000,-29.535672667000004,-39.177963974999997
